#Release 14.7 - reportgen P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Jul 28 15:45:48 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       x353.ncd
#OUTPUT FILE:      x353_pad.csv
#PART TYPE:        xc3s1200e
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,,IBUF,IP,UNUSED,,0,,,,,,,,,
A4,EXT<2>,IOB,IO_L17N_0/VREF_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
A5,EXT<3>,IOB,IO_L17P_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
A6,,,VCCAUX,,,,,,,,2.5,,,,
A7,D<16>,IOB,IO,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
A8,CLK3,IBUF,IP_L10P_0/GCLK8,INPUT,LVCMOS33,0,,,,IFD,,LOCATED,YES,NONE,
A9,CLK0,IBUF,IO_L09N_0/GCLK7,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
A10,CLK1,IBUF,IO_L09P_0/GCLK6,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
A11,,,VCCAUX,,,,,,,,2.5,,,,
A12,D<15>,IOB,IO,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
A13,D<11>,IOB,IO_L03N_0/VREF_0,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
A14,DACK1,IBUF,IO_L01N_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
A15,,,TCK,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,
B1,CNVSYNC,IOB,IO_L01P_3,BIDIR,LVCMOS25*,3,4,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
B2,CNVCLK,IOB,IO_L01N_3,BIDIR,LVCMOS25*,3,4,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
B3,,DIFFS,IO_L19N_0/HSWAP,UNUSED,,0,,,,,,,,,
B4,D<19>,IOB,IO,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
B5,,,VCCO_0,,,0,,,,,3.30,,,,
B6,D<23>,IOB,IO,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
B7,EXT<7>,IOB,IO_L13P_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
B8,,DIFFSI,IP_L10N_0/GCLK9,UNUSED,,0,,,,,,,,,
B9,,,GND,,,,,,,,,,,,
B10,D<14>,IOB,IO,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
